city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Davangere,14.4667,75.9167,India,IN,Karnātaka,,503564,435125
Jammu,32.7333,74.8500,India,IN,Jammu and Kashmīr,,502197,502197
Belgaum,15.8667,74.5000,India,IN,Karnātaka,,488157,488157
Gulbarga,17.3333,76.8333,India,IN,Karnātaka,,483615,481478
Jāmnagar,22.4700,70.0700,India,IN,Gujarāt,,479920,479920
Dhūlia,20.9000,74.7833,India,IN,Mahārāshtra,,479073,366980
Gaya,24.7500,85.0167,India,IN,Bihār,,474093,474093
Jalgaon,21.0167,75.5667,India,IN,Mahārāshtra,,460468,460468
Kurnool,15.8222,78.0350,India,IN,Andhra Pradesh,,457633,457633
Udaipur,24.5833,73.6833,India,IN,Rājasthān,,451100,451100
Bellary,15.1500,76.9150,India,IN,Karnātaka,,445388,336681
Sāngli,16.8667,74.5667,India,IN,Mahārāshtra,,436639,436639
Tuticorin,8.7833,78.1333,India,IN,Tamil Nādu,,436094,436094
Calicut,11.2500,75.7667,India,IN,Kerala,minor,431560,431560
Akola,20.7333,77.0000,India,IN,Mahārāshtra,,425817,425817
Bhāgalpur,25.2500,87.0167,India,IN,Bihār,,410210,410210
Sīkar,27.6119,75.1397,India,IN,Rājasthān,,400000,237579
Tumkūr,13.3300,77.1000,India,IN,Karnātaka,,399606,307359
Quilon,8.8853,76.5864,India,IN,Kerala,,397419,397419
Muzaffarnagar,29.4708,77.7033,India,IN,Uttar Pradesh,,392451,392451
Bhīlwāra,25.3500,74.6333,India,IN,Rājasthān,,389911,326431
Nizāmābād,18.6704,78.1000,India,IN,Telangana,,388505,305438
Bhātpāra,22.8667,88.4167,India,IN,West Bengal,,386019,386019
Kākināda,16.9333,82.2167,India,IN,Andhra Pradesh,,384182,384182
Parbhani,19.2704,76.7600,India,IN,Mahārāshtra,,378326,289629
Pānihāti,22.6900,88.3700,India,IN,West Bengal,,377347,377347
Lātūr,18.4004,76.5700,India,IN,Mahārāshtra,,374394,348967
Rohtak,28.9000,76.5667,India,IN,Haryāna,,374292,374292
Rājapālaiyam,9.4204,77.5800,India,IN,Tamil Nādu,,369991,307959
Ahmadnagar,19.0833,74.7333,India,IN,Mahārāshtra,,350859,350859
Cuddapah,14.4667,78.8167,India,IN,Andhra Pradesh,,344893,344893
Rājahmundry,16.9833,81.7833,India,IN,Andhra Pradesh,,341831,341831
Alwar,27.5667,76.6167,India,IN,Rājasthān,,341422,341422
Muzaffarpur,26.1200,85.3833,India,IN,Bihār,,333200,333200
Bilāspur,22.1500,82.0167,India,IN,Chhattīsgarh,,331030,331030
Mathura,27.4833,77.6833,India,IN,Uttar Pradesh,,330511,330511
Kāmārhāti,22.6700,88.3700,India,IN,West Bengal,,330211,330211
Patiāla,30.3204,76.3850,India,IN,Punjab,,329224,329224
Saugor,23.8504,78.7500,India,IN,Madhya Pradesh,,328240,247333
Bijāpur,16.8244,75.7154,India,IN,Karnātaka,,327427,327427
Brahmapur,19.3200,84.8000,India,IN,Odisha,,324726,324726
Shāhjānpur,27.8804,79.9050,India,IN,Uttar Pradesh,,320434,320434
Trichūr,10.5200,76.2100,India,IN,Kerala,,315596,315596
Barddhamān,23.2500,87.8500,India,IN,West Bengal,,314265,314265
Kulti,23.7300,86.8500,India,IN,West Bengal,,313809,313809
Sambalpur,21.4704,83.9701,India,IN,Odisha,,310852,162887
Purnea,25.7800,87.4700,India,IN,Bihār,,310817,310817
Hisar,29.1489,75.7367,India,IN,Haryāna,,307024,307024
Fīrozābād,27.1500,78.3949,India,IN,Uttar Pradesh,,306409,306409
Bīdar,17.9229,77.5175,India,IN,Karnātaka,,300136,204071
Rāmpur,28.8154,79.0250,India,IN,Uttar Pradesh,,296418,296418
Shiliguri,26.7200,88.4200,India,IN,West Bengal,,294546,294546
Bāli,22.6500,88.3400,India,IN,West Bengal,,293373,293373
Pānīpat,29.4004,76.9700,India,IN,Haryāna,,292808,292808
Karīmnagar,18.4333,79.1500,India,IN,Telangana,,289821,289821
Bhuj,23.2504,69.8100,India,IN,Gujarāt,,289429,289429
Ichalkaranji,16.7000,74.4700,India,IN,Mahārāshtra,,287570,287570
Tirupati,13.6500,79.4200,India,IN,Andhra Pradesh,,287482,287482
Hospet,15.2667,76.4000,India,IN,Karnātaka,,286007,197846
Āīzawl,23.7104,92.7200,India,IN,Mizoram,admin,283021,265331
Sannai,24.1600,80.8300,India,IN,Madhya Pradesh,,283004,283004
Bārāsat,22.2333,88.4500,India,IN,West Bengal,,278435,278435
Ratlām,23.3167,75.0667,India,IN,Madhya Pradesh,,273892,273892
Handwāra,34.4000,74.2800,India,IN,Jammu and Kashmīr,,269311,269311
Drug,21.1900,81.2800,India,IN,Chhattīsgarh,,268806,268806
Imphāl,24.8200,93.9500,India,IN,Manipur,admin,268243,268243
Anantapur,14.6833,77.6000,India,IN,Andhra Pradesh,,267161,267161
Etāwah,26.7855,79.0150,India,IN,Uttar Pradesh,,257448,257448
Rāichūr,16.2104,77.3550,India,IN,Karnātaka,,255240,225962
Ongole,15.5000,80.0500,India,IN,Andhra Pradesh,,252739,252739
Bharatpur,27.2172,77.4900,India,IN,Rājasthān,,252342,252342
Begusarai,25.4200,86.1300,India,IN,Bihār,,252008,252008
Sonīpat,28.9958,77.0114,India,IN,Haryāna,,250521,250521
Rāmgundam,18.8000,79.4500,India,IN,Telangana,,242979,242979
Hāpur,28.7437,77.7628,India,IN,Uttar Pradesh,,242920,242920
Uluberiya,22.4700,88.1100,India,IN,West Bengal,,235345,235345
Porbandar,21.6425,69.6047,India,IN,Gujarāt,,234684,138872
Pāli,25.7725,73.3233,India,IN,Rājasthān,,229956,229956
Vizianagaram,18.1167,83.4167,India,IN,Andhra Pradesh,,228720,228720
Puducherry,11.9300,79.8300,India,IN,Puducherry,admin,227411,227411
Karnāl,29.6804,76.9700,India,IN,Haryāna,,225049,225049
Nāgercoil,8.1700,77.4300,India,IN,Tamil Nādu,,224329,213858
Tanjore,10.8000,79.1500,India,IN,Tamil Nādu,,222943,222943
Sambhal,28.5800,78.5500,India,IN,Uttar Pradesh,,220813,220813
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575,206575
Ghāndīnagar,23.2200,72.6800,India,IN,Gujarāt,admin,195891,195891
Shillong,25.5744,91.8789,India,IN,Meghālaya,admin,143229,143229
New Delhi,28.7000,77.2000,India,IN,Delhi,primary,142004,142004
Port Blair,11.6667,92.7500,India,IN,Andaman and Nicobar Islands,admin,127562,112050
Gangtok,27.3300,88.6200,India,IN,Sikkim,admin,100286,100286
Kohīma,25.6667,94.1194,India,IN,Nāgāland,admin,99039,99039
Itānagar,27.1000,93.6200,India,IN,Arunāchal Pradesh,admin,59490,59490
Panaji,15.4800,73.8300,India,IN,Goa,admin,40017,40017
Damān,20.4170,72.8500,India,IN,Gujarāt,admin,39737,39737
Kavaratti,10.5626,72.6369,India,IN,Lakshadweep,admin,10688,10688
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,
Kagaznāgār,19.3316,79.4661,India,IN,Telangana,minor,,
Bengaluru,12.9716,77.5946,India,
